clause,clauseid,resid,actor,regularized_actors,sentiment_label,active_ind,recoded
"Recalling its resolution 827 (1993) of 25 May 1993, 1503 (2003) of 28 August 2003 and 1534 (2004) of 26 March 2004, and in particular, 1966 (2010) of 22 December 2010, which inter alia established the International Residual Mechanism for Criminal Tribunals (the Mechanism),",29986,2193,SC,['Security Council'],[0],0,0
"Decides to extend the term of office of the following permanent and ad litem judges at the International Tribunal, who are members of the Trial Chambers and the Appeals Chamber, until 31 December 2015 or until the completion of the cases to which they are assigned,",29994,2193,International Tribunal,['International Courts'],[0],0,0
"Decides to terminate, with immediate effect, the measures on arms, previously imposed by paragraph 2 of resolution 1521 (2003) and modified by paragraphs 1 and 2 of resolution 1683 (2006), by paragraph 1 (b) of resolution 1731 (2006), by paragraphs 3, 4, 5 and 6 of resolution 1903 (2009), by paragraph 3 of resolution 1961 (2010), and by paragraph 2 (b) of resolution 2128 (2013);",30044,2288,SC,['Security Council'],[0],0,0
"Decides, in this context, to extend the present mandate of UNIFIL for a further period of 6 months, until 31 January 2001;",30097,1310,UNIFIL,['Peacekeeping'],[0],0,0
"Re-emphasizes the terms of reference and general guidelines of UNIFIL as stated in the report of the Secretary-General of 19 March 1978 (S/12611), approved by resolution 426 (1978);",30102,1310,SG,['Secretary General'],[0],0,0
"Noting the reports of the High Representative, including his latest report of 18 February 2004 (S/2004/126),",30107,1551,SG,['Secretary General'],[0],0,0
"Reconfirms its intention to review the measures imposed by paragraph 1 of resolution 1532 (2004) at least once a year, and directs the Committee, in coordination with the Government of Liberia and relevant designating States and with the assistance of the Panel of Experts, to update as necessary the publicly available reasons for listing for entries on the travel ban and assets freeze lists as well as the Committees guidelines;",30169,1961,SC sanctions committee,['SC Sanctions Committee'],[0],0,0
"Decides to authorize the Member States of the African Union to maintain the deployment of the African Union Mission in Somalia (AMISOM) until 31 July 2018, authorizes AMISOM to take all necessary measures, in full compliance with participating States obligations under international humanitarian law and international human rights law, and in full respect for the sovereignty, territorial integrity, political independence and unity of Somalia, to carry out its mandate; as set out in paragraphs 7 and 8 of its resolution 2372 (2017), and recalls its decision to authorize the African Union to reduce the level of uniformed personnel to 20,626, to include a minimum of 1,040 AMISOM police personnel including five Formed Police Units, by 30 October 2018;",30205,2415,AU members,['Regional Organizations'],[0],0,0
"Requests the Committee, in accordance with its mandate and in consultation with the Monitoring Group and other relevant United Nations entities, to consider and recommend to the Council ways to improve implementation of and compliance with the arms embargo, including ways to develop capacity of States in the region to implement the arms embargo, in response to continuing violations;",30269,1587,SC sanctions committee,['SC Sanctions Committee'],[0],0,0
Takes note of the Government of Iraqs letter dated 8 May 2024 and decides to extend UNAMIs mandate for a final 19-month period until 31 December 2025 after which UNAMI will cease all work and operations except with respect to any remaining liquidation of the Mission pursuant to paragraph two;,30302,2732,Govt,['Government'],[0],0,0
"Authorizes UNMISS, including the RPF, to use all necessary means to carry out its tasks;",30341,2326,PK,['Peacekeeping'],[0],0,0
"Recalling all its previous resolutions on Western Sahara, including resolution 1495 (2003) of 31 July 2003 and resolution 1541 (2004) of 29 April 2004,",30361,1570,SC,['Security Council'],[0],0,0
Requests the Secretary-General to submit a report by 1 June 2001 on the implementation of this resolution;,30409,1331,SC,['Security Council'],[0],0,0
"Recalling its previous resolutions and its presidential statements on the situation in Sudan and South Sudan, and in particular, resolutions 1990 (2011), 2024 (2011), 2032 (2011), 2046 (2012), 2047 (2012), 2075 (2012), 2104 (2013), 2126 (2013) and 2156 (2014), as well as presidential statements S/PRST/2012/19 and S/PRST/2013/14, and the Councils press statements of 18 June 2012, 21 September 2012, 28 September 2012, 6 May 2013, 14 June 2013, 14 February 2014 and 17 March 2014,",30410,2179,SC,['Security Council'],[0],0,0
"Takes note of the evolving human rights situation in the country and urges the authorities of Guinea-Bissau to take all necessary measures to protect human rights, put an end to impunity, initiate investigations to identify the perpetrators of human rights violations and abuses, including those against women and children, and bring them to justice and take action to protect witnesses in order to ensure due process;",30479,2343,Govt,['Government'],[0],0,0
"Urging the full, equal and effective participation of women in all activities relating to the democratic transition, conflict resolution and peacebuilding, supporting the efforts of the SRSG to facilitate wider engagement and participation of women from across the spectrum of Libyan society in the political process and public institutions,",30508,2434,Member states,['Member States'],[0],0,0
"Encourages the Government of Timor-Leste to continue to strengthen peacebuilding perspectives in such areas as employment and empowerment, especially focusing on rural areas, women and youth, as well as local socio-economic development in particular in the agricultural sector;",30587,2037,Govt,['Government'],[0],0,0
Calls for enhanced vigilance from trading centres and States in the region to support the CAR authorities efforts to re-establish legitimate trade and benefit from its natural resources; and commends the CAR for taking special measures to enhance traceability of diamonds from compliant zones so that diamonds are not used for the benefit of armed groups or to destabilize the CAR;,30706,2339,Regional stakeholders,['Regional Stakeholders'],[0],0,0
"Calls upon all parties to take full advantage of the expertise and readiness of UNMIN, within its mandate, to support the peace process to facilitate the completion of outstanding aspects of UNMINs mandate by 23 January 2010;",30739,1879,Conflict parties,['Conflict Parties'],[0],0,0
"Requests that MINUSMA take fully into account the need to protect civilians and mitigate risk to civilians, including, in particular, women, children and displaced persons and civilian objects in the performance of its mandate as defined in paragraphs 16 and 17 above, where undertaken jointly with the Malian Defence and Security Forces, in strict compliance with the Human Rights Due Diligence Policy on United Nations Support to non-United Nations Security Forces (S/2013/110);",30820,2100,MINUSMA,['Peacekeeping'],[0],0,0
"Encourages Member States from the region to continue their efforts in enacting legislation or regulations, necessary to ensure the effective implementation of the arms embargo;",30850,1519,Regional stakeholders,['Regional Stakeholders'],[0],0,0
"Recalling all its previous resolutions on Haiti, in particular its resolutions 2653 (2022), 2692 (2023), and 2699 (2023),",30852,2700,SC,['Security Council'],[0],0,0
"Requests that the Panel of Experts provide to the Security Council, after discussion with the Committee, an interim report by 29 March 2024, a final report no later than 1 October 2024, and periodic updates in between;",30883,2700,UN orgs,['UN Organizations'],[0],0,0
"Recalling the 30 March 2011 interim report by the Panel of Experts appointed by the Secretary-General pursuant to paragraph 3 (b) of resolution 1591 (2005) and extended by subsequent resolutions,",30890,1982,UN orgs,['UN Organizations'],[0],0,0
"Noting that whereas the United Nations and the Group of Friends of the Secretary-General will continue to support the process of conflict resolution between the Georgian and Abkhaz sides, the primary responsibility to make use of this support and to implement measures to advance the process, in particular measures to build confidence, remains with both sides,",30899,1808,Conflict parties,['Conflict Parties'],[0],0,0
"Urging the Government of Sudan and the rebel groups to facilitate this humanitarian relief by allowing unfettered access for humanitarian supplies and workers, including across Sudans borders with Chad and Libya by land and by air as may be required,",31047,1564,Conflict parties,['Conflict Parties'],[0],0,0
"Reiterates its full support for the 8 April 2004 Ndjamena ceasefire agreement, and in this regard urges the Government of Sudan to refrain from conducting military flights in and over the Darfur region in accordance with its commitments;",31063,1564,Govt,['Government'],[0],0,0
Encourages MONUC to enhance its interaction with the civilian population to raise awareness and understanding about its mandate and activities and to collect reliable information on violations of international humanitarian law and human rights abuses perpetrated against civilians;,21078,1906,MONUC,['Peacekeeping'],[1],0,0
"Welcomes the Afghan Governments commitment to strengthen the participation of women in the Afghan political life and in all Afghan governance institutions including elected and appointed bodies and the civil service and notes the progress in this regard, welcomes its continued efforts to protect and promote the full participation of women in the electoral processes and requests the Secretary- General to continue to include in his reports to the Security Council relevant information on the process of integration of women into the political, economic and social life of Afghanistan, notes the UNAMA report on the Implementation of the Law on Elimination of Violence against Women in Afghanistan, and calls on the Government of Afghanistan to urgently develop a strategy to fully implement it, including services to victims and access to justice, welcomes in this regard the launch in November 2014 by the Ministry of Public Health of the Gender-based Violence Treatment Protocol for Healthcare Providers, recalls that the promotion and protection of womens rights are an integral part of development, peace, reintegration and reconciliation and that women play a vital role in the peace process, welcomes the Afghan Governments commitment to developing, implementing and monitoring the National Action Plan on Women, Peace and Security and identifying further opportunities to support participation of women in the Afghan-led and Afghan-owned peace process, and welcomes the commitment of the Government of Afghanistan to develop a Womens Economic Empowerment Action Plan;",31175,2274,Govt,['Government'],[1],0,0
"Welcoming the efforts of the Secretary-General to keep all peacekeeping operations, including the United Nations Mission for the Referendum in Western Sahara (MINURSO), under close review and reiterating the need for the Council to pursue a rigorous, strategic approach to peacekeeping deployments, and effective management of resources,",16,2602,SG,['Secretary General'],[1],1,0
"Calls upon the parties to demonstrate political will and work in an atmosphere propitious for dialogue in order to advance negotiations, thus ensuring implementation of resolutions 1754 (2007), 1783 (2007), 1813 (2008), 1871 (2009), 1920 (2010), 1979 (2011), 2044 (2012), 2099 (2013), 2152 (2014), 2218 (2015), 2285 (2016), 2351 (2017), 2414 (2018), 2440 (2018), 2468 (2019), 2494 (2019), and 2548 (2020), and the success of negotiations;",43,2602,Involved parties,['Conflict Parties'],[1],1,0
"Expressing its gratitude for the work done by the Special Adviser to the Secretary-General on Legal Issues Related to Piracy off the Coast of Somalia Mr. Jack Lang in order to explore new solutions to counter more effectively piracy and armed robbery at sea off the coast of Somalia, including by more effective prosecution of suspected, and imprisonment of convicted pirates, and noting with appreciation the conclusions and proposals set forth in his report to the Security Council contained in the annex to document S/2011/30,",80,1976,SG,['Secretary General'],[1],1,0
"Stressing that the best solution to the situation in Yemen is through a peaceful, inclusive, orderly and Yemeni-led political transition process that meets the legitimate demands and aspirations of the Yemeni people for peaceful change and meaningful political, economic and social reform, as set out in the GCC Initiative and Implementation Mechanism and the outcomes of the comprehensive National Dialogue Conference, welcoming Yemens efforts to strengthen womens participation in political and public life, including through measures to ensure at least 30 per cent women candidates for national legislative elections and elected councils,",351,2140,Govt,['Government'],[1],1,0
"Welcoming IGADs continued operations of the Monitoring and Verification Mechanism (MVM) and its transition to the Ceasefire and Transitional Security Arrangements Monitoring Mechanism (CTSAMM), and calling for the withdrawal of armed groups and allied forces invited by either side, consistent with the Agreement,",632,2241,Regional organizations,['Regional Organizations'],[1],1,0
Decides to extend the mandate of UNMISS until 15 December 2015;,637,2241,UNMISS,['Peacekeeping'],[1],1,0
"Paying tribute to the continued support of the international community, particularly the Core Group, interested stakeholders, donors and regional organizations, for Haiti and MINUSTAH, which remains essential to the achievement of stability and development,",800,1702,Regional stakeholders,['Regional Stakeholders'],[1],1,0
"Underlining, with the installation of the Superior Council of the Judiciary the need to further strengthen Haitian judicial and correctional systems, in order to support a more integrated and cohesive Haitian security sector, supported by UNDP, welcoming the capacity development assessment of the Ministry of Justice and Public Security, which resulted in an action plan for its institutional reform and acknowledging that attendant human rights concerns that still remain in the corrections system such as, prolonged pretrial detentions, prison overcrowding, sanitary conditions, and access to health-care services, including hygiene, are significant challenges to sustainable administrative reforms,",833,2070,Govt,['Government'],[1],1,0
"Recognizes the ownership and primary responsibility of the Government and the people of Haiti over all aspects of the countrys stabilization, welcomes the steps taken by MINUSTAH to provide logistical and technical expertise, within available means, to assist the Government of Haiti, as requested, to continue operations to build the capacity of its rule of law institutions at the national and local levels, and to speed up the implementation of the Governments resettlement strategy for displaced persons, in the knowledge that such measures are temporary and will be phased out as Haitian capacity grows, and calls on the Mission to proceed swiftly with activities in this regard as recommended by the Secretary- General, coordinating as appropriate with the United Nations country team and other active in the stabilization efforts;",860,2070,Govt,['Government'],[1],1,0
"Commending the Government of Burundi and the political parties for the consensus achieved in nominating the members of the Independent National Electoral Commission and the consensual adoption of the revised electoral code, welcoming the decision of the Government to provide a legal framework for the Permanent Forum for Dialogue among parties and recalling the importance that the elections scheduled for 2010 are prepared and conducted in a free, fair and peaceful environment,",888,1902,Govt,['Government'],[1],1,0
"Welcomes the adoption of, and commends, the Report of the Counter- Terrorism Committee to the Security Council for its Comprehensive Consideration of the Work of the Counter-Terrorism Executive Directorate from 2011 to 2013;",988,2129,UN orgs,['UN Organizations'],[1],1,0
Commends the Secretary-Generals efforts to establish cooperation between the United Nations missions in the subregion and welcomes his intention in paragraph 65 of his report to submit recommendations to the Council by the end of 2004 on how such cooperation might be strengthened;,1068,1537,SG,['Secretary General'],[1],1,0
"Welcomes the progress made in the implementation of the Action Plan to prevent and end the recruitment and use of children by the FARDC and the subsequent delisting of the FARDC for child recruitment and use, and calls upon the Government of the DRC to urgently ensure the gains of this Action plan are sustained and to take all necessary steps to end and prevent violations and abuses against children, and to ensure that children are not detained for their alleged association with armed groups and are handed over to child protection actors, in line with the Ministry of Defence and the National Intelligence Agency Directives issued in 2013;",1121,2409,Govt,['Government'],[1],1,0
"Requests MONUSCO to continue to maximise Force interoperability, flexibility, mobility and effectiveness in the implementation of the entirety of MONUSCOs mandate, including by deploying rapidly deployable units, specialized capabilities, including enhanced information-gathering assets and analysis, specialized infantry, key enablers such as medical evacuation and air assets, and by continuing to modernise and to strengthen the performance of the Force, bearing in mind the safety and security of all military contingents, police officers, military observers, and especially unarmed observers, calls on MONUSCO to streamline overall command and control of the Force, in order to increase efficiencies and to improve coordination between all elements of the Force and the police component in priority areas, and reminds the Secretary-General of the necessity to keep Memoranda of Understanding (MoUs) and Statements of Unit Requirements (SURs) between the T/PCCs and the United Nations up to date;",1154,2409,MONUSCO,['Peacekeeping'],[1],1,0
"Recognizes that the effective implementation of MONUSCO mandate is a shared responsibility and is contingent upon several critical factors, including well defined, realistic, and achievable mandates; political will, leadership, performance and accountability at all levels; adequate resources; policy, planning and operational guidelines and training; further recognizes that measuring and monitoring peacekeeping performance should be based on comprehensive and objective policy with clear and well defined benchmarks; and, in this regard, welcomes the initiatives undertaken by the Secretary-General to standardize a culture of performance in UN peacekeeping that operationalizes the Operational Readiness Assurance and Performance Improvement Policy, and conducts mission performance reviews of troop and police contingent performance, and leverages the Peacekeeping Capabilities and Readiness System (PCRS) to ensure performance data informs decisions regarding peacekeepers deployment, and calls on him to continue his efforts in this regard;",1156,2409,MONUSCO,['Peacekeeping'],[1],1,0
"Recalling the importance of the Kabul Declaration of 22 December 2002 on Good-Neighbourly Relations (Kabul Declaration) (S/2002/1416), welcoming the New Delhi Declaration adopted at the Second Regional Economic Cooperation Conference on Afghanistan on 19 November 2006, looking forward to the Third Regional Economic Cooperation Conference on Afghanistan to be held in Islamabad, Pakistan in 2007, and stressing the crucial importance to all parties of advancing regional cooperation as an effective means to promote security, governance and development in Afghanistan,",1226,1746,Regional stakeholders,['Regional Stakeholders'],[1],1,0
"Welcoming the presentation of the report of the Secretary-General on peacebuilding and sustaining peace,1 and the valuable inputs for the 2020 review of the peacebuilding architecture of the Peacebuilding Commission through its letter dated 2 July 2020, of the group of Independent Eminent Persons through its letters dated 6 July 2020, and noting input from thematic and regional consultations, and encouraging relevant United Nations bodies and organs including the Peacebuilding Commission to consider the inputs further,",1365,2558,SG,['Secretary General'],[1],1,0
"Recalling also its resolutions 1325 (2000) and 1820 (2008) on women, peace and security, condemning any sexual violence, stressing again the importance of womens equal participation and full involvement in all efforts for the maintenance of peace and promotion of peace and security and the need to increase their role in decision-making with regard to conflict prevention and resolution, and encouraging the Secretary-General to mainstream a gender perspective in the implementation of the mandate of the United Nations Operation in Cte dIvoire (UNOCI),",1548,1865,SG,['Secretary General'],[1],1,0
"Welcomes the signature on 22 December 2008 by President Laurent Gbagbo and Mr. Guillaume Soro, under the facilitation of President Blaise Compaor of Burkina Faso, of the fourth Supplementary Agreement to the Ouagadougou political Agreement (S/2008/834);",1556,1865,Govt,['Government'],[1],1,0
"Stresses the need to enhance the safety and security of UNDOF, including Observer Group Golan, personnel, and endorses in this regard the Secretary- Generals recommendation to consider further adjustments to the posture and operations of the Mission, as well as to implement additional mitigation measures to enhance the self-defence capabilities of UNDOF, including maximizing the Force strength and improving its self-defence equipment, within the parameters set forth in the Protocol to the Disengagement Agreement;",1594,2108,UNDOF,['Peacekeeping'],[1],1,0
"Welcoming the signature by the Ivorian parties on 6 April 2005 in Pretoria of the agreement on the peace process in Cte dIvoire (the Pretoria Agreement), under the auspices of President Thabo Mbeki, and expressing its satisfaction with the first steps which have been undertaken by the Ivorian parties in order to implement this agreement, in particular with the agreement on the disarmament, demobilization and reintegration process reached on 14 May 2005 and the restoration of the status of the Ivorian Radio and Television to that it enjoyed before 24 December 2004,",1601,1603,Conflict parties,['Conflict Parties'],[1],1,0
"Welcomes the efforts undertaken by UNOCI to implement the Secretary- Generals zero tolerance policy on sexual exploitation and abuse and to ensure full compliance of its personnel with the United Nations code of conduct, requests the Secretary-General to continue to take all necessary action in this regard and to keep the Security Council informed, and urges troop-contributing countries to take appropriate preventive action including the conduct of pre-deployment awareness training, and to take disciplinary action and other action to ensure full accountability in cases of such conduct involving their personnel;",1622,1603,SG,['Secretary General'],[1],1,0
"Commends the 22 January 2019 report by RJMEC Interim Chairperson Augostino S.K. Njoroge on the status of implementation of the Revitalised Agreement for the period October 2018 to December 2018, welcomes the gradual decrease in fighting among the warring parties, calls on parties to the Revitalised Agreement to take the necessary steps to ensure that pretransitional institutions and mechanisms can be operational as soon as possible, taking into account the timetable set by the Revitalised Agreement, condemns violations of the ACOH by all parties, including continuing use of sexual and gender-based violence in attacks, and the assault of CTSAMVM monitors that undermines confidence building measures between the warring parties, underscores that lack of feasible security arrangements may delay the peace process, and calls upon all parties to ensure full and meaningful participation of youth, women, diverse communities, faith groups, and civil society in all conflict resolution and peacebuilding efforts;",2078,2459,Conflict parties,['Conflict Parties'],[1],1,0
"Requests UNMISS continue to engage in dialogue with the parties to the conflict regarding the development and implementation of action plans, in line with resolution 1612 (2005) and subsequent resolutions on children and armed conflict and to support efforts aimed at releasing children associated with armed groups and forces in all parts of the country;",2106,2459,UNMISS,['Peacekeeping'],[1],1,0
"Encourages the Monitoring Team and the United Nations Office on Drugs and Crime, to continue their joint activities, in cooperation with the Counter- Terrorism Executive Directorate (CTED) and 1540 Committee experts to assist Member States in their efforts to comply with their obligations under the relevant resolutions, including through organizing regional and subregional workshops;",2297,2161,UN orgs,['UN Organizations'],[1],1,0
"Welcoming the progress made by the Government of Sierra Leone and the National Electoral Commission of Sierra Leone in preparing for elections, with the assistance of the United Nations Mission in Sierra Leone (UNAMSIL), and encouraging further efforts, particularly by the National Electoral Commission, in this regard,",2356,1389,Govt,['Government'],[1],1,0
Reiterates its appreciation for the deployment by the EU of its Police Mission (EUPM) to Bosnia and Herzegovina since 1 January 2003;,2474,1948,EU,['Regional Organizations'],[1],1,0
Expresses its appreciation to those Member States providing troops and support elements to UNAMSIL and those who have made commitments to do so;,2917,1370,TCC,['Troop Contributing Countries'],[1],1,0
"Requests UNAMSIL to continue to support, within its capabilities and areas of deployment, returning refugees and displaced persons and urges the RUF to cooperate to this end in fulfilment of its commitments under the Abuja Ceasefire Agreement;",2922,1370,UNAMSIL,['Peacekeeping'],[1],1,0
"Urging the Government of Iraq to continue to promote and protect human rights and also to consider additional steps to support the Independent High Commission for Human Rights in carrying out its mandate, encouraging the Government of Iraq to reinvigorate its efforts to promote and protect the rights of women and reaffirming its resolutions 1325 (2000), 1820 (2008), 1888 (2009), 1889 (2009), 1960 (2010), 2106 (2013), 2122 (2013) and 2242 (2015) on women, peace, and security and reiterating the need for the full, equal, and effective participation of women, reaffirming the key role women can play in re-establishing the fabric of society, stressing the need for their full political participation, including in upcoming elections and the Independent High Electoral Commission, stabilization planning, political decision making, local and national reconciliation and peace processes, and expressing concern about the lack of implementation, including funding, of Iraqs National Action Plan of 2014 in accordance with resolution 1325 (2000) as well as the lack of a national entity responsible for its implementation,",2948,2367,Govt,['Government'],[1],1,0
"Welcoming the efforts of the international community carried out to strengthen the coherence of military and civilian actions, including those within the framework of ISAF,",3039,2069,Member states,['Member States'],[1],1,0
Encourages the sides in that respect to continue their discussion on security guarantees and welcomes the meeting in Sukhumi on 20 May on this issue;,3057,1554,Conflict parties,['Conflict Parties'],[1],1,0
"Taking note of the final declaration of the Nairobi summit organized on 7 November 2008 by President Mwai Kibaki, acting Chairman of the International Conference on the Great Lakes region, and President Jakaya Kikwete, President-in- office of the African Union, and the communiqu of the extraordinary summit of the SADC Heads of State and Government held in Sandton on 9 November 2008, welcoming the appointment of facilitators including the Special Envoy of the Secretary- General for the Great Lakes region, former Nigerian President Olusegun Obasanjo, and the former President of the United Republic of Tanzania, Benjamin Mkapa, inviting these facilitators to keep the Council informed of their activities, and encouraging the countries of the region to maintain this high level of commitment on the crisis in the eastern part of the Democratic Republic of the Congo, and act to assist efforts to resolve the conflict,",3212,1856,Regional organizations,['Regional Organizations'],[1],1,0
"Urging the sides to step up their efforts to promote intercommunal contacts, intra-island trade, reconciliation and the active engagement of civil society, in particular women and youth, recognising that regular, effective contact and communication between the sides enhances the prospects for settlement and is in the interests of all Cypriots, and helps to address island-wide matters, including health, crime, environmental protection, economic issues, issues related to the adverse impacts of climate change, and challenges related to migration, welcoming efforts to remove obstacles to intra-island trade and urging both sides to strengthen such efforts,",3420,2723,Conflict parties,['Conflict Parties'],[1],1,0
"Expressing again its appreciation to President Blaise Compaor of Burkina Faso (the Facilitator) for his continued efforts to support the peace process in Cte dIvoire, in particular through the Ouagadougou Political Agreement follow-up mechanisms, commending and encouraging the continued efforts of the African Union and the Economic Community of West African States (ECOWAS) to promote peace and stability in Cte dIvoire, and reiterating its full support for them,",3452,1880,Govt,['Government'],[1],1,0
"Welcomes the progress made in the identification process, which is key to the long-term stability of Cte dIvoire, and calls upon the Ivorian parties to continue the identification operations, including after the elections;",3471,1880,Govt,['Government'],[1],1,0
"Welcoming the fact that some of these groups and militias have started to submit an inventory of arms and related materiel in their possession, as well as their location, with a view to their participation in the programmes of disarmament, and encouraging those who have not yet done so rapidly to do so,",3531,1596,Conflict parties,['Conflict Parties'],[1],1,0
"Recalling the utmost importance that all parties concerned respect the Blue line in its entirety, welcoming the continued progress in the marking of the Blue line, and encouraging the parties to accelerate their efforts in coordination with UNIFIL, including through the tripartite mechanism, to continue working in the ongoing process to delineate and visibly mark the Blue Line in its entirety, as well as to move forward on the marking of its points of contention, as recommended by the Strategic Review,",3602,2236,Conflict parties,['Conflict Parties'],[1],1,0
"Recalls the recommendations of the strategic review of UNSOM (S/2022/716), which were endorsed subsequently by the Security Council, and calls for the timely implementation of the recommendations, including planning to develop a road map for the eventual transition from UNSOM to the United Nations Country Team, finalising the UNSOM staffing and configuration review, and towards a common understanding of an end state;",3830,2705,UNSOM,['Peacekeeping'],[1],1,0
"Approves the temporary deployment of MONUC personnel intended, during the first months of the establishment of the transitional institutions, to participate in a multi-layer security system in Kinshasa in accordance with paragraphs 35 to 38 of the second special report of the Secretary-General, approves also the reconfiguration of the MONUC civilian police component as outlined in paragraph 42 of that report, and encourages MONUC to continue to support police development in areas of urgent need;",3861,1493,MONUC,['Peacekeeping'],[1],1,0
"Welcoming ongoing efforts to ensure an orderly, open, fair and democratic process that preserves stability and security through the election period, underscoring the challenges that the Afghan Independent Electoral Commission (IEC) is successfully confronting, and welcoming the announcement by the IEC to hold presidential and provincial council elections in August 2009,",3897,1868,Govt,['Government'],[1],1,0
"Takes note with appreciation of the recent serious efforts of the Afghan authorities to enhance the capabilities of the Afghan National Police, calls for further efforts towards that goal, including through the Focused District Development, and stresses the importance, in this context, of international assistance through financial support and provision of trainers and mentors, including the contribution of the European Union through its police mission (EUPOL Afghanistan);",3929,1868,Govt,['Government'],[1],1,0
"Welcomes the progress in the implementation by the Afghan Government of the programme of disbandment of illegal armed groups, and calls for accelerated efforts for further progress, with support from the international community;",3930,1868,Govt,['Government'],[1],1,0
"Welcomes the progress made by AMISOM in complying with human rights and international humanitarian law, and urges troop and police contributing countries to accelerate efforts to cooperate with the AU and UN to enhance the effectiveness of measures and mechanisms to prevent and address non-compliance, including on the basis of specific recommendations of the Joint Review, including selection and screening of AMISOM personnel;",4223,2431,AMISOM,['Peacekeeping'],[1],1,0
"Expresses concern at continued violations and abuses of human rights and violations of international humanitarian law in Somalia, underscores the need to end impunity, uphold human rights and to hold accountable those responsible for such violations and abuses, welcomes the establishment of the National Human Rights Commission, and encourages the FGS to approve the appointment of the Commissioners, and implement fully the Action Plan of its Human Rights Roadmap, including by implementing legislation aimed at protecting human rights and investigating and prosecuting perpetrators of crimes involving violations or abuses of human rights, violations of international humanitarian law, and conflict-related sexual and gender-based violence;",4254,2431,Govt,['Government'],[1],1,0
"Welcoming the enhanced cooperation and information sharing between UNAMID and the Panel of Experts facilitated by the Department of Peacekeeping Operations guidelines and the decision of UNAMID to establish a focal point to facilitate information sharing with the Panel of Experts regarding the arms embargo,",4335,1945,PK,['Peacekeeping'],[1],1,0
"Welcoming the report of the Secretary-General of 16 June 2022 (S/2022/491) submitted pursuant to resolution 2605 (2021),",4373,2648,SG,['Secretary General'],[1],1,0
"Recalling its resolution 1325 (2000) and related resolutions, recognising that the full, equal and meaningful participation and leadership of women is essential in building peace in Cyprus and will contribute to making any future settlement sustainable, welcoming efforts to bring together a broader range of women actors on both sides, encouraging the sides to ensure the unique concerns of women are addressed in a future settlement, and looking forward to the outcome of the gender- sensitive socio-economic impact assessment requested in its resolution 2453 (2019),",4625,2506,Conflict parties,['Conflict Parties'],[1],1,0
"Welcomes in this context the continued progress in the development of the Afghan National Army and its improved ability to plan and undertake operations, and encourages sustained training efforts, including through the Operational Mentoring and Liaison Teams (OMLTs), and advise in developing a sustainable defence planning process as well as assistance in defence reform initiatives;",4774,1806,Govt,['Government'],[1],1,0
"Welcoming the proposed confidence-building measures advanced by both sides, as a means of creating greater trust between the two communities and encouraging their early implementation; encouraging also progress on measures such as the opening of additional crossing points including, but not limited to, at Ledra Street, taking into account the arrangements already in place at existing crossing points, and reaffirming the importance of continued crossing of the Green Line by Cypriots,",4901,1789,Conflict parties,['Conflict Parties'],[1],1,0
"Acknowledging the commitments by troop-contributing countries in support of the United Nations Mission in the Sudan (UNMIS), and encouraging deployment in order for UNMIS to support timely implementation of the Comprehensive Peace Agreement,",4931,1663,TCC,['Troop Contributing Countries'],[1],1,0
"Encourages the United Nations and regional organizations, especially the African Union to take concrete steps to strengthen their relationships and develop a more effective partnership when addressing issues of mutual interest and underscores the need to enhance the United Nations and regional organizations predeployment joint planning and joint mission assessment processes to increase effectiveness of peacekeeping mission;",5082,2167,UN,['United Nations'],[1],1,0
"Further welcoming the decisions of Morocco, the Frente Polisario, Algeria and Mauritania to accept the invitation of the Personal Envoy to participate in a roundtable meeting in Geneva on December 56, 2018, without preconditions and in good faith, and welcoming consultations between the Personal Envoy and Morocco, the Frente Polisario, Algeria and Mauritania in this regard,",5137,2440,Conflict parties,['Conflict Parties'],[1],1,0
"Expresses its full support for the intention of the Secretary-General and his Personal Envoy to initiate a renewed negotiations process before the end of 2018; notes that invitations to an initial roundtable meeting in Geneva on 5 and 6 December 2018 were sent on 28 September 2018, welcomes that Morocco, the Frente Polisario, Algeria, and Mauritania have responded positively, and encourages them to work constructively with the Personal Envoy, in the spirit of compromise, throughout the duration of this process to ensure a successful outcome;",5151,2440,SG,['Secretary General'],[1],1,0
"Welcomes the sustained activity and recommendations of its Working Group on Children and Armed Conflict as called for in paragraph 8 of its resolution 1612 (2005), and invites it to continue reporting regularly to the Security Council;",5327,1998,UN orgs,['UN Organizations'],[1],1,0
"Encourages UNMIS, consistent with its mandate, and within authorized levels of civilian police to continue efforts to assist the parties to the CPA in promoting the rule of law and in restructuring the police and corrections services in Sudan, including in South Sudan, and to assist in the training of civilian police and corrections officers;",5368,1812,UNMIS,['Peacekeeping'],[1],1,0
"Notes that conflict in one area of Sudan affects conflict in other areas in Sudan and in the region, and therefore urges UNMIS to coordinate closely with UNAMID, the AU-UN Joint Mediation Support Team and other stakeholders, to ensure complementary implementation of these bodies mandates in support of the implementation of the CPA and of the overall objective of peace in Sudan;",5375,1812,UNMIS,['Peacekeeping'],[1],1,0
"Further requests UNMIS to coordinate with humanitarian, recovery and development agencies, within its capabilities and areas of deployment, to facilitate the provision of recovery and development assistance, which is essential to deliver a peace dividend to the people of Sudan;",5376,1812,UNMIS,['Peacekeeping'],[1],1,0
